TaskID     GiftID     GiftType      TaskType      RequestTime        TaskArrival     TT      Responsable
____________________________________________________________________________________________________________
1             1          3              A           1671198380         1671198380         2              B
2             2          1              C           1671198381         1671198381         1              A
3             1          3              C           1671198380         1671198382         1              B
4             2          1              D           1671198381         1671198382         1              S
5             1          3              D           1671198380         1671198383         1              S
7             4          1              C           1671198384         1671198384         1              B
6             3          2              P           1671198383         1671198383         3              A
8             4          1              D           1671198384         1671198385         1              S
10             3          2              C           1671198383         1671198386         1              B
11             6          1              C           1671198386         1671198386         2              B
12             3          2              D           1671198383         1671198387         1              S
9             5          2              P           1671198385         1671198385         4              A
13             7          1              C           1671198387         1671198387         2              B
14             6          1              D           1671198386         1671198388         1              S
17             5          2              C           1671198385         1671198389         1              A
18             7          1              D           1671198387         1671198389         1              S
19             9          1              C           1671198389         1671198389         1              B
20             5          2              D           1671198385         1671198390         1              S
21             9          1              D           1671198389         1671198390         2              S
15             8          4              P           1671198388         1671198388         5              A
16             8          4              Q           1671198388         1671198388         5              S
23             11          3              A           1671198391         1671198391         2              B
16             8          4              C           1671198388         1671198393         1              B
26             11          3              C           1671198391         1671198393         2              B
28             8          4              D           1671198388         1671198394         1              S
22             10          2              P           1671198390         1671198390         6              A
27             13          1              C           1671198393         1671198393         3              B
30             11          3              D           1671198391         1671198395         1              S
31             10          2              C           1671198390         1671198396         1              A
32             13          1              D           1671198393         1671198396         1              S
34             10          2              D           1671198390         1671198397         1              S
33             15          3              A           1671198396         1671198396         2              B
36             15          3              C           1671198396         1671198398         1              B
24             12          2              P           1671198392         1671198392         8              A
38             15          3              D           1671198396         1671198399         1              S
40             12          2              C           1671198392         1671198400         1              A
35             16          3              A           1671198397         1671198397         4              B
42             12          2              D           1671198392         1671198401         1              S
43             16          3              C           1671198397         1671198401         1              B
45             16          3              D           1671198397         1671198402         1              S
29             14          2              P           1671198394         1671198394         10              A
39             18          3              A           1671198399         1671198399         5              B
47             21          4              Q           1671198402         1671198402         2              S
48             22          1              C           1671198403         1671198403         2              A
49             14          2              C           1671198394         1671198404         1              B
52             23          4              Q           1671198404         1671198404         1              S
50             18          3              C           1671198399         1671198404         2              A
53             22          1              D           1671198403         1671198405         1              S
