TaskID     GiftID     GiftType      TaskType      RequestTime        TaskArrival     TT      Responsable      
____________________________________________________________________________________________________________
1             1          3              A           1671198212         1671198212         2              B       
2             2          1              C           1671198213         1671198213         1              A       
3             1          3              C           1671198212         1671198214         1              B       
4             3          1              C           1671198214         1671198214         1              A       
5             2          1              D           1671198213         1671198214         2              S       
9             5          1              C           1671198216         1671198216         1              B       
6             1          3              D           1671198212         1671198215         3              S       
8             4          2              P           1671198215         1671198215         3              A       
12             4          2              C           1671198215         1671198218         1              B       
7             3          1              D           1671198214         1671198215         5              S       
13             7          1              C           1671198218         1671198218         2              B       
11             6          2              P           1671198217         1671198217         4              A       
15             8          1              C           1671198219         1671198219         2              B       
19             6          2              C           1671198217         1671198221         1              A       
10             5          1              D           1671198216         1671198217         5              S       
21             10          1              C           1671198221         1671198221         1              B       
14             4          2              D           1671198215         1671198219         5              S       
17             9          4              P           1671198220         1671198220         5              A       
25             12          3              A           1671198223         1671198223         2              B       
16             7          1              D           1671198218         1671198220         6              S       
28             12          3              C           1671198223         1671198225         1              B       
29             14          1              C           1671198225         1671198225         2              B       
24             11          2              P           1671198222         1671198222         6              A       
20             8          1              D           1671198219         1671198221         7              S       
33             16          1              C           1671198227         1671198227         1              B       
34             11          2              C           1671198222         1671198228         1              A       
22             6          2              D           1671198217         1671198222         8              S       
36             17          3              A           1671198228         1671198228         2              B       
39             17          3              C           1671198228         1671198230         1              B       
26             13          2              P           1671198224         1671198224         8              A       
23             10          1              D           1671198221         1671198222         10              S       
43             13          2              C           1671198224         1671198232         1              A       
38             18          3              A           1671198229         1671198229         4              B       
30             12          3              D           1671198223         1671198226         8              S       
46             18          3              C           1671198229         1671198233         1              B       
31             15          2              P           1671198226         1671198226         10              A       
32             14          1              D           1671198225         1671198227         9              S       
42             20          3              A           1671198231         1671198231         5              B       
51             24          1              C           1671198235         1671198235         2              A       
52             15          2              C           1671198226         1671198236         1              B       
35             16          1              D           1671198227         1671198228         10              S       
53             20          3              C           1671198231         1671198236         2              A       
58             26          1              C           1671198237         1671198237         2              A       
18             9          4              Q           1671198220         1671198220         19              S       
47             22          3              A           1671198233         1671198233         6              B       
18             9          4              C           1671198220         1671198239         1              B       
37             11          2              D           1671198222         1671198229         12              S       
62             22          3              C           1671198233         1671198239         2              B       
40             19          2              P           1671198230         1671198230         12              A       
50             23          4              Q           1671198234         1671198234         8              S       
66             29          1              C           1671198240         1671198240         2              B       
69             19          2              C           1671198230         1671198242         1              A       
71             31          1              C           1671198242         1671198242         2              A       
41             17          3              D           1671198228         1671198231         13              S       
60             27          3              A           1671198238         1671198238         6              B       
73             32          1              C           1671198243         1671198243         2              A       
75             27          3              C           1671198238         1671198244         1              B       
74             31          1              D           1671198242         1671198244         2              S       
76             33          1              C           1671198244         1671198244         2              A       
63             28          5              A           1671198239         1671198239         8              B       
77             32          1              D           1671198243         1671198245         3              S       
81             35          1              C           1671198246         1671198246         2              B       
44             21          2              P           1671198232         1671198232         17              A       
80             33          1              D           1671198244         1671198246         4              S       
85             37          1              C           1671198248         1671198248         2              A       
68             30          3              A           1671198241         1671198241         9              B       
86             21          2              C           1671198232         1671198249         2              A       
89             30          3              C           1671198241         1671198250         1              B       
45             13          2              D           1671198224         1671198233         19              S       
90             39          1              C           1671198250         1671198250         2              A       
95             41          1              C           1671198252         1671198252         1              B       
48             18          3              D           1671198229         1671198234         20              S       
49             23          4              P           1671198234         1671198234         21              A       
56             24          1              D           1671198235         1671198237         19              S       
100             23          4              C           1671198234         1671198255         1              B       
55             25          4              Q           1671198236         1671198236         21              S       
104             45          1              C           1671198256         1671198256         1              B       
54             25          4              P           1671198236         1671198236         22              A       
64             28          5              Q           1671198239         1671198239         19              S       
108             25          4              C           1671198236         1671198258         1              B       
99             43          4              Q           1671198254         1671198254         5              S       
64             28          5              C           1671198239         1671198258         2              B       
102             44          4              Q           1671198255         1671198255         5              S       
79             34          2              P           1671198245         1671198245         16              A       
107             46          4              Q           1671198257         1671198257         4              S       
116             34          2              C           1671198245         1671198261         1              A       
109             47          5              C           1671198258         1671198258         4              B       
57             15          2              D           1671198226         1671198237         26              S       
115             49          3              A           1671198260         1671198260         4              B       
83             36          2              P           1671198247         1671198247         18              A       
120             51          1              C           1671198262         1671198262         3              B       
59             20          3              D           1671198231         1671198238         27              S       
121             52          1              C           1671198263         1671198263         3              A       
122             49          3              C           1671198260         1671198264         2              B       
124             36          2              C           1671198247         1671198265         2              A       
61             26          1              D           1671198237         1671198239         28              S       
117             50          3              A           1671198261         1671198261         7              B       
132             50          3              C           1671198261         1671198268         1              B       
65             9          4              D           1671198220         1671198240         29              S       
87             38          2              P           1671198249         1671198249         21              A       
137             38          2              C           1671198249         1671198270         1              A       
123             53          3              A           1671198264         1671198264         7              B       
67             22          3              D           1671198233         1671198241         30              S       
141             53          3              C           1671198264         1671198271         1              B       
110             47          5              Q           1671198258         1671198258         14              S       
113             48          4              Q           1671198259         1671198259         14              S       
142             60          1              C           1671198271         1671198271         2              B       
93             40          2              P           1671198251         1671198251         23              A       
110             47          5              C           1671198258         1671198272         2              B       
146             62          1              C           1671198273         1671198273         2              A       
70             29          1              D           1671198240         1671198242         33              S       
147             40          2              C           1671198251         1671198274         1              B       
149             63          1              C           1671198274         1671198274         2              A       
150             62          1              D           1671198273         1671198275         2              S       
126             54          3              A           1671198265         1671198265         12              B       
155             54          3              C           1671198265         1671198277         1              B       
144             61          2              P           1671198272         1671198272         7              A       
153             63          1              D           1671198274         1671198276         3              S       
156             66          1              C           1671198277         1671198277         2              B       
159             61          2              C           1671198272         1671198279         1              A       
72             19          2              D           1671198230         1671198243         38              S       
129             55          3              A           1671198266         1671198266         15              B       
163             69          1              C           1671198280         1671198280         2              B       
97             42          2              P           1671198253         1671198253         30              A       
162             61          2              D           1671198272         1671198280         3              S       
